id,count
0,92.25
1,233.66
2,84.74
4,28.56
5,64.48
10,125.89
11,184.26
12,311.29
15,30.77
17,117.81
18,302.92
23,260.0
25,107.23
26,39.04
31,210.37
39,139.74
40,23.74
41,165.83
42,375.16
43,178.03
51,231.65
52,81.66
54,15.77
60,144.28
61,142.5
62,108.75
63,28.57
65,120.49
66,112.3
68,138.56
71,71.48
80,28.66
82,69.17
94,128.35
98,273.02
101,28.69
102,134.75
107,89.02
112,206.31
113,81.26
115,52.19
116,125.64
120,158.85
121,75.61
122,337.36
132,201.08
143,91.69
147,66.09
150,17.43
151,88.25
152,236.1
153,91.13
155,170.58
156,78.49
159,197.69
161,127.32
163,41.26
177,187.04
186,14.06
188,18.07
190,96.98
191,89.31
192,265.96
195,317.43
200,154.16
209,311.23
210,14.9
211,207.84
214,108.47
215,24.96
218,97.92
219,32.14
222,139.69
225,14.69
228,322.54
236,233.48
241,36.3
242,169.42
243,245.27
245,16.61
247,250.18
251,125.77
252,90.92
253,85.85
254,89.14
258,328.1
260,53.94
261,159.94
265,115.07
266,283.4
267,299.44
269,163.71
270,67.45
275,100.65
278,38.74
279,89.64
286,104.62
287,28.69
288,223.16
289,154.81
293,19.5
294,141.23
297,37.4
302,116.52
303,68.0
304,60.39
307,103.66
309,17.08
311,169.42
312,118.43
314,178.59
315,248.84
319,171.98
322,113.98
323,65.96
325,125.46
327,252.52
330,37.1
332,226.3
333,17.21
338,101.76
341,106.91
345,175.55
348,122.65
349,44.69
350,120.56
352,49.92
355,16.46
356,226.85
358,55.46
363,131.32
369,162.76
371,20.35
372,135.01
375,308.27
380,134.33
388,43.66
391,151.65
392,266.3
393,368.38
394,201.6
396,28.12
401,34.65
407,111.14
409,91.29
410,116.16
416,118.24
418,119.11
420,152.36
421,199.06
422,133.14
424,293.22
428,329.55
429,218.09
431,130.74
435,14.88
439,118.45
441,14.97
447,97.94
449,134.56
451,130.18
452,17.12
454,201.52
458,214.62
463,121.83
467,15.3
470,238.59
471,152.59
474,292.98
478,16.32
483,122.09
484,123.04
485,87.56
486,127.25
491,95.99
494,102.88
495,242.37
497,208.8
499,155.75
515,117.67
518,222.68
521,200.05
525,164.31
529,257.59
532,146.0
534,112.91
540,114.64
544,292.02
547,174.08
549,43.22
563,39.03
564,140.23
567,120.71
572,111.77
577,123.69
578,269.44
585,345.12
588,129.56
589,114.24
590,100.97
592,17.9
594,217.82
596,16.45
598,344.58
599,140.71
605,34.34
606,127.09
607,251.61
608,224.7
609,63.4
610,295.53
611,197.29
614,134.98
615,218.68
616,253.31
617,124.92
618,244.41
624,118.42
629,130.76
631,95.73
633,101.48
637,26.09
638,103.68
643,64.84
644,144.2
645,38.8
646,204.82
648,199.46
650,35.09
651,211.29
652,273.57
656,109.21
657,18.39
659,77.97
660,204.6
662,101.15
665,367.12
675,330.99
681,150.91
682,198.93
685,22.84
686,222.17
689,25.38
696,139.01
703,148.18
704,93.45
705,98.43
714,235.5
717,105.83
718,15.86
720,87.22
721,248.78
723,233.73
726,197.69
728,137.46
730,212.85
731,28.11
734,338.7
737,87.47
738,19.17
745,160.83
746,26.53
749,241.05
752,25.7
753,175.2
758,236.44
765,17.06
766,233.27
768,90.81
769,197.27
774,138.77
775,106.07
781,54.52
784,332.52
794,18.89
795,275.24
796,79.32
802,147.11
803,224.66
805,34.5
806,286.13
807,99.14
809,16.78
810,159.16
812,203.99
814,114.37
818,250.8
819,130.69
825,67.21
836,113.74
839,121.71
847,263.52
848,187.65
851,115.25
852,134.38
853,32.78
857,143.24
858,42.63
859,220.54
861,20.73
867,97.33
870,206.78
871,207.74
872,224.9
874,359.58
881,224.5
886,132.56
890,53.75
895,168.13
899,93.29
900,276.75
901,249.36
902,243.92
903,39.79
913,247.91
918,189.54
923,92.69
924,36.86
926,29.47
927,19.15
930,219.83
934,30.35
937,126.65
939,148.7
941,88.4
942,366.26
946,278.08
950,95.52
953,86.02
959,96.58
961,27.99
962,96.76
964,76.1
969,179.56
971,139.29
976,38.26
978,240.53
980,243.66
981,147.56
990,368.35
993,19.5
996,19.3
998,329.49
999,195.35
1006,117.82
1008,16.11
1013,28.88
1015,95.97
1016,117.75
1022,294.61
1026,220.84
1028,240.36
1031,72.28
1034,46.48
1037,189.54
1040,60.07
1042,19.01
1046,18.65
1048,99.57
1049,111.87
1050,63.74
1051,196.82
1052,243.52
1055,191.39
1060,148.37
1064,30.5
1066,79.57
1071,100.12
1073,15.07
1089,185.66
1091,95.81
1092,73.41
1093,223.6
1096,311.73
1097,218.5
1098,18.08
1099,38.27
1102,161.15
1107,107.9
1109,38.73
1111,122.95
1112,112.14
1114,315.55
1116,290.86
1117,116.79
1118,88.39
1122,138.14
1124,171.98
1127,122.59
1133,222.39
1134,38.03
1135,127.1
1139,305.57
1143,50.72
1150,118.67
1151,109.74
1153,280.52
1155,30.68
1162,30.15
1163,214.01
1166,22.56
1171,88.63
1172,15.62
1173,245.27
1174,75.78
1177,112.35
1178,155.62
1184,184.79
1185,112.35
1186,114.75
1187,176.11
1188,286.32
1191,135.88
1207,121.86
1213,45.93
1215,124.7
1223,164.31
1227,115.38
1236,52.45
1237,46.15
1238,18.67
1241,29.74
1248,17.59
1250,34.63
1251,169.37
1253,114.33
1255,96.78
1257,174.57
1261,112.32
1262,342.37
1265,120.32
1273,185.24
1277,256.2
1278,117.65
1280,113.75
1284,227.86
1285,330.84
1288,32.78
1295,117.23
1297,355.15
1299,249.27
1304,146.62
1308,42.65
1310,94.52
1311,123.83
1314,99.65
1315,104.52
1318,33.27
1320,321.79
1321,291.22
1322,236.66
1330,113.99
1333,169.92
1334,217.61
1341,124.65
1344,143.21
1351,231.57
1354,99.73
1356,45.36
1363,119.46
1365,191.12
1369,131.6
1373,115.24
1375,108.84
1377,93.85
1379,142.75
1380,280.91
1381,95.17
1384,174.92
1390,172.17
1393,244.93
1395,46.06
1399,319.27
1400,96.24
1401,161.04
1404,172.58
1408,14.27
1409,29.78
1413,220.84
1416,278.33
1418,105.24
1423,99.61
1424,29.49
1425,16.11
