id,value
1,25155000.0
2,71471666.66666666
4,54096666.66666666
5,45632500.0
6,49330000.0
10,39693333.33333333
11,46201333.33333333
15,46390000.0
17,51281666.66666666
23,41230000.0
25,29495000.0
28,42250000.0
31,32411250.0
35,38093000.0
39,17929000.0
40,9578000.0
43,43479000.0
48,21646250.0
51,16498500.0
55,18880736.11111111
56,18718394.84126984
57,20523000.0
61,36686666.66666667
62,30092166.66666667
69,17310000.0
70,17128000.0
71,27602833.33333333
74,43645000.0
80,30835833.333333336
82,31040000.0
84,59133833.33333333
85,50335000.0
88,33565833.333333336
90,6057492.784992785
91,13231095.238095239
95,45330000.0
101,25762166.66666667
104,9391500.0
111,25506916.66666667
113,17350000.0
116,30355000.0
120,40323333.333333336
122,11201100.0
130,7573059.523809525
136,15247500.0
138,38470000.0
141,16833109.523809522
144,25227708.33333333
146,16150000.0
147,12705833.333333336
150,7405250.0
151,19365000.0
152,3398083.333333333
158,3528139.9572553392
159,4782750.456113159
160,15219000.0
162,14456250.0
168,10983333.333333332
172,12445998.1962482
177,14413425.0
181,8977333.333333332
183,46920000.0
184,30828773.80952381
186,32400000.0
187,48730833.33333334
192,35020261.9047619
193,12533666.666666668
194,19589999.999999996
200,10600928.57142857
201,10461000.0
204,16487738.095238097
206,45262500.0
208,11790345.23809524
219,33805000.0
221,8546833.333333334
227,8672200.036075035
231,772374.221721261
233,31040000.0
235,35349166.666666664
237,1475591.5521978023
238,15511400.0
239,1391775.1831501832
255,7352833.333333334
258,37925000.00000001
260,12881597.943722945
272,6082383.333333332
273,37925000.00000001
275,27027500.0
279,12393500.0
281,39761666.66666667
284,23188333.33333333
286,12226000.0
292,19589999.999999996
300,7405250.0
301,9431142.857142858
303,17393440.476190474
304,10952833.333333336
315,5706250.0
318,6025000.0
320,2233826.948051948
322,28148500.0
323,2786611.2204380585
326,7264190.476190478
328,8536280.003330003
337,49879583.33333333
339,12509000.0
342,21875000.0
343,30835833.333333336
360,17573333.333333332
364,39117500.0
365,24679500.0
367,18320666.666666668
368,14803875.000000002
369,26528428.571428575
372,9541833.333333334
376,38498750.0
379,16923666.666666668
380,17483416.66666667
383,23684726.19047619
385,10010250.0
386,17568750.0
390,7899770.7792207785
391,24963000.0
393,25227708.33333333
400,10173894.543650791
403,3648383.333333334
413,1637826.4285714286
416,1319756.54403927
423,13865895.238095239
424,2292817.4238802567
426,18345242.424242426
427,6640341.269841271
428,9432000.0
429,19763833.333333336
431,1947250.0
432,20328000.0
433,21197428.571428575
439,1190103.5714285716
443,18206797.61904762
444,34047000.0
446,11913238.095238097
449,29425857.142857146
456,12543288.816738818
457,1307037.4999999998
464,11777428.57142857
468,40663666.666666664
472,1873530.9523809524
474,17350000.0
483,6417742.063492063
488,8730232.142857144
494,10859601.010101011
499,6916966.666666668
505,33930000.0
506,8525375.0
510,4139950.0
511,13872722.22222222
512,9435000.0
517,5989773.809523809
521,16310208.333333332
522,6954166.666666666
523,4926037.797619048
526,5425583.333333334
531,5989773.809523809
540,3598250.0
547,2868295.833333334
555,13443460.317460317
556,5439527.281746031
563,772374.221721261
564,16983999.999999996
566,1437068.8492063496
573,1296786.011904762
574,3756664.718614717
581,4994849.701797385
588,613210.4166666667
590,2635934.0354090356
591,2931252.380952382
595,2132273.208286811
596,10714619.047619049
597,2322664.0090465085
599,3614515.9659784655
600,16833000.0
602,2147116.233766234
603,28320200.0
606,12881597.943722945
613,9255052.38095238
615,9816523.80952381
620,18312666.666666668
623,5343747.718253968
624,16387142.857142858
628,786285.0
630,3710170.5357142864
635,1926353.6279106
636,11511345.238095239
638,20636642.857142862
662,6695999.999999999
664,7252499.999999999
665,4110902.3809523797
670,14775000.0
672,16127416.666666664
677,41792333.333333336
680,4109326.1904761903
695,6094458.333333332
705,6656266.666666668
713,1496250.0
716,5136333.333333333
717,7591000.0
720,4954476.892551893
723,368984.01216430624
725,1130311.5095232844
731,2689585.3829704816
733,3944883.738385799
734,2645058.658883222
738,1391775.1831501832
740,4320307.205988457
743,7136696.031746033
747,2062536.3647068455
750,2059979.3150121346
752,4911794.883241758
753,2479680.0595238097
756,10846211.904761905
758,3881046.625596626
768,14771000.0
770,18694742.424242426
772,12536809.523809524
773,12035095.238095235
791,18312666.666666668
793,18718394.84126984
794,11866166.666666664
798,4911794.883241758
799,486109.0277777778
801,2947283.333333334
804,18164250.0
805,15112166.666666664
811,11287067.460317465
822,9864908.333333332
824,10262940.476190478
827,16457733.333333336
828,13646875.613275614
832,10132646.825396828
837,5343747.718253968
844,7352833.333333334
851,4110902.3809523797
852,5549855.519480519
854,18056166.666666668
856,10093193.18181818
860,16127416.666666664
867,5915570.9457209455
877,7854042.857142858
880,8487500.0
883,5264250.000000001
885,5294766.666666667
889,441051.47924188303
891,2917717.2619047617
894,1784059.4100344107
897,11798062.6984127
898,8027267.857142857
899,3010923.6111111115
904,11318600.0
906,13646875.613275614
907,5450433.333333332
910,1114976.4285714284
915,690920.8333333335
917,4644916.504329005
919,369920.83333333343
925,2515824.491341992
928,3944883.738385799
940,2868295.833333334
945,7155228.571428573
946,4373770.833333333
951,2452967.479767184
953,15861571.42857143
959,7258000.0
961,1646214.4509371342
963,5254585.714285715
965,7144620.337301588
971,10246180.952380951
973,6755500.0
983,1841276.8578643578
985,10132646.825396828
997,1499392.5
998,6626126.785714285
999,10132646.825396828
1004,1987567.857142857
1012,6300421.703296704
1014,8260066.666666666
1021,15739666.666666668
1024,2177505.321611223
1028,4911794.883241758
1034,11553416.666666664
1037,3915750.833333334
1038,4628601.111111111
1041,3881046.625596626
1043,1560539.2857142857
1044,2786611.2204380585
1048,5679406.818181817
1054,3949662.5000000014
1058,8864719.444444444
1059,1823976.8428793428
1061,14456250.0
1068,2124077.0833333335
1070,3351361.9047619044
1075,13323000.0
1076,1453000.0
1078,2015125.0
1080,2203685.388901414
1082,2588559.5007546633
1084,403739.16666666674
1085,6755500.0
1088,342680.5284992784
1091,6125713.888888887
1094,859293.2465657968
1096,1695464.1025641025
1099,5343747.718253968
1101,32393666.666666664
1103,9061000.000000002
1107,10646142.857142858
1108,11437333.333333332
1110,1965185.4679873618
1117,8585590.476190476
1119,3822857.251082251
1120,1323949.358974359
1122,10223425.000000002
1130,14411484.027777776
1136,13802460.317460317
1137,6417742.063492063
1139,884077.8571428572
1140,15098034.848484848
1141,1182426.5476190476
1144,728793.2954096555
1148,2706638.236480881
1165,7159404.761904764
1168,20076458.333333336
1174,20328000.0
1179,2645058.658883222
1187,1485701.1904761905
1188,10983333.333333332
1190,1978480.4545454546
1196,9175000.0
1197,2786236.5079365075
1200,5159703.487852019
1201,9563099.999999998
1203,1261569.7420634923
1205,8989087.301587302
1208,11277150.0
1212,4643264.192229339
1213,2581211.3608613615
1214,3317324.375208126
1217,7159404.761904764
1224,8928640.476190476
1228,685614.8410920005
1229,7899770.7792207785
1239,1579454.7348484846
1240,3233544.246031746
1247,1122669.4461826913
1259,2081553.6303973813
1261,11873111.11111111
1265,8624897.61904762
1268,1586741.6666666665
1269,386750.0
1271,13198333.333333336
1274,8411900.000000002
1275,8585590.476190476
1276,5665340.54834055
1277,8680000.0
1278,4899818.306693306
1288,4686551.19047619
1291,2262707.7153735273
1296,1124929.1394471538
1297,1712787.5
1302,15708000.0
1304,3273992.721861473
1306,8027267.857142857
1307,1927127.9761904762
1309,1119545.8333333333
1310,11867707.142857144
1314,3851403.7157287155
1316,12445998.1962482
1317,518827.02380952373
1323,6536433.333333332
1324,14418780.219780218
1325,7327863.9305139305
1326,2850845.0
1331,3351361.9047619044
1333,2929749.9999999995
1334,9152999.999999998
1335,2993000.5952380956
1337,7519333.333333332
1347,2012144.0476190478
1348,1343345.491088717
1354,2377933.7838286436
1355,3731174.702380953
1358,2293021.1309523815
1362,7102990.476190477
1363,3828666.666666666
1375,9203119.04761905
1377,2062747.6190476187
1380,1494375.0612508836
1382,1083774.7564935067
1391,6400250.0
1397,902833.9883972243
1400,3439253.435861524
1401,6057492.784992785
1405,2770654.7781385286
1408,5549855.519480519
1409,3467009.523809523
1411,3084275.066248196
1417,3351361.9047619044
1420,2126182.7020202023
1421,2643917.004939506
1425,10205850.0
1428,3649121.230158731
1431,17340750.0
1436,2280677.083333333
1448,1626654.5291245559
1450,1831907.6923076923
1458,4696242.857142858
1459,2693488.9285714286
1463,5847866.666666668
1471,4585024.523809523
1473,1588042.9934648683
1474,1431097.584729382
1476,781871.4285714284
1482,7159404.761904764
1487,3992523.333333333
1491,1650913.7373737374
1496,2402332.142857143
1497,1956392.416607665
1498,13568333.333333332
1504,4079587.4999999995
1507,1918822.1750471753
1509,1291275.0
1513,3871822.3214285714
1518,1293440.4761904762
1519,6536433.333333332
1522,1603937.4999999998
1532,8997136.458270831
1534,1392939.1673284196
1538,2065810.1190476192
1542,1750669.1089466088
1544,7267833.333333334
1549,3773092.7493499233
1558,1799082.1704924747
1562,3084275.066248196
1563,8260166.666666666
1564,991510.7972582973
1565,2384140.476190476
1568,2348579.365079365
1569,1118958.3333333335
1570,4261369.444444445
1573,1970749.2661393324
1574,2439882.9573536366
1578,8989087.301587302
1580,2135732.4404761903
1581,1344425.2678571427
1585,942772.6136363636
1591,962376.6666666667
1598,5638116.666666666
1600,569953.3333333335
1609,11361083.333333336
1614,2377933.7838286436
1619,5240504.116022864
1628,14250333.333333332
1630,11984671.42857143
1633,3059375.0
1638,2262707.7153735273
1651,1104142.2222222222
1652,11152016.666666668
1659,12175229.761904761
1663,9607466.666666668
1667,1721258.333333333
1668,2393392.733748852
1670,1809364.9969453681
1671,589316.3726673652
1675,2177325.3291316526
1678,675794.742063492
1681,2184109.495712621
1683,7159404.761904764
1687,2237855.297553754
1689,3865829.48995449
1690,3084275.066248196
1697,1813715.8333333335
1700,11380250.0
1711,5862211.11111111
1713,1626654.5291245559
1720,3084275.066248196
1723,2658797.222222222
1729,2062536.3647068455
1730,1333132.4510548227
1735,17886196.428571425
1736,11277150.0
1737,1477764.8809523808
1738,6510427.380952381
1741,2931252.380952382
1747,15580059.110007638
1753,1727703.7235620478
1755,1065962.5152625153
1764,1531314.9909812408
1766,13313988.095238095
1770,1921545.1388888892
1775,3428357.1428571427
1776,1022518.1141774892
1783,2635934.0354090356
1789,11361083.333333336
1794,2393392.733748852
1795,2905833.333333333
1799,3520053.607503608
1802,1646214.4509371342
1805,158183.33333333337
1808,5159703.487852019
1811,5244352.276889778
1812,18414666.666666668
1813,1926353.6279106
1816,17482250.0
1817,1609561.9804431533
1820,669250.0
1828,1876678.1746031747
1837,7045886.507936508
1838,10860333.333333332
1840,6290830.9523809515
1841,15267400.0
1842,849886.6522366523
1843,9112390.476190476
1845,1408261.0514485515
